concept,timestamp_ms,concept_hits,concept_ef_hits
Behavioral Control,1578913409601,2305,61
Behavioral Regulation,1578913410985,650,131
Central Executive,1578913412647,951,202
Cognitive Flexibility,1578913414349,2906,898
Cognitive Control,1578913416141,6945,1301
Inhibition,1578913418515,850706,2665
Inference Control,1578913426298,3,1
Response Inhibition,1578913427885,3940,820
Working Memory,1578913429598,30660,4422
Creativity,1578913431774,6298,60
Deductive Reasoning,1578913433562,390,6
Dual Task Coordination,1578913435155,29,4
Effective Performance,1578913436763,471,4
Emotional Control,1578913438540,821,119
Emotional Regulation,1578913441342,1798,87
Executive Control,1578913443063,3581,1413
Feedback Learning,1578913444862,132,3
Fluency,1578913446451,11727,1826
Generativity,1578913448445,375,25
Fluid Intelligence,1578913450029,937,142
Logical Reasoning,1578913451671,376,17
Relational Reasoning,1578913453260,102,8
Inhibition Control,1578913454831,179,24
Initiation,1578913456425,225387,342
Mindfulness,1578913459263,6934,96
Motivational Drive,1578913461157,116,7
Organization,1578913462760,278008,514
Problem Solving,1578913467062,17666,511
Responsive Action,1578913469026,27,0
Response Conflict,1578913470647,619,61
Reward Processing,1578913472253,2034,79
Self Control,1578913474046,5575,180
Sequencing,1578913475810,276980,202
Shifting,1578913479046,34148,1189
Strategic Retrieval,1578913481123,86,14
Switching,1578913482733,60109,880
Updating,1578913485436,11598,405
Verbal Processing,1578913487254,316,18
Visuospatial Processing,1578913488839,562,54
Volition,1578913490575,848,19
