task,concept,timestamp_ms,task_concept_ef_hits,task_suffixtask_concept_ef_hits,task_suffixtest_concept_ef_hits,task_suffixgame_concept_ef_hits,task_concept_hits,task_suffixtask_concept_hits,task_suffixtest_concept_hits,task_suffixgame_concept_hits,concept_hits,concept_ef_hits,task_hits,task_suffixtask_hits,task_suffixtest_hits,task_suffixgame_hits,task_ef_hits,task_suffixtask_ef_hits,task_suffixgame_ef_hits,task_suffixtest_ef_hits
Analogy Making,Behavioral Control,1578869438707,0,0,0,0,0,0,0,0,2305,61,17,0,0,0,2,0,0,0
Analogy Making,Behavioral Regulation,1578869452247,0,0,0,0,0,0,0,0,650,131,17,0,0,0,2,0,0,0
Analogy Making,Central Executive,1578869466032,0,0,0,0,0,0,0,0,951,202,17,0,0,0,2,0,0,0
Analogy Making,Cognitive Flexibility,1578869479951,0,0,0,0,0,0,0,0,2906,898,17,0,0,0,2,0,0,0
Analogy Making,Cognitive Control,1578869493739,0,0,0,0,0,0,0,0,6945,1301,17,0,0,0,2,0,0,0
Analogy Making,Inhibition,1578869507690,2,0,0,0,2,0,0,0,850706,2665,17,0,0,0,2,0,0,0
Analogy Making,Inference Control,1578869524809,0,0,0,0,0,0,0,0,3,1,17,0,0,0,2,0,0,0
Analogy Making,Response Inhibition,1578869538478,0,0,0,0,0,0,0,0,3940,820,17,0,0,0,2,0,0,0
Analogy Making,Working Memory,1578869552434,0,0,0,0,1,0,0,0,30660,4422,17,0,0,0,2,0,0,0
Analogy Making,Creativity,1578869566804,0,0,0,0,1,0,0,0,6298,60,17,0,0,0,2,0,0,0
Analogy Making,Deductive Reasoning,1578869580645,0,0,0,0,0,0,0,0,390,6,17,0,0,0,2,0,0,0
Analogy Making,Dual Task Coordination,1578869594320,0,0,0,0,0,0,0,0,29,4,17,0,0,0,2,0,0,0
Analogy Making,Effective Performance,1578869608276,0,0,0,0,0,0,0,0,471,4,17,0,0,0,2,0,0,0
Analogy Making,Emotional Control,1578869621989,0,0,0,0,0,0,0,0,821,119,17,0,0,0,2,0,0,0
Analogy Making,Emotional Regulation,1578869635751,0,0,0,0,0,0,0,0,1798,87,17,0,0,0,2,0,0,0
Analogy Making,Executive Control,1578869650799,0,0,0,0,0,0,0,0,3581,1413,17,0,0,0,2,0,0,0
Analogy Making,Feedback Learning,1578869664794,0,0,0,0,0,0,0,0,132,3,17,0,0,0,2,0,0,0
Analogy Making,Fluency,1578869678827,0,0,0,0,0,0,0,0,11727,1826,17,0,0,0,2,0,0,0
Analogy Making,Generativity,1578869692814,0,0,0,0,0,0,0,0,375,25,17,0,0,0,2,0,0,0
Analogy Making,Fluid Intelligence,1578869706559,0,0,0,0,1,0,0,0,937,142,17,0,0,0,2,0,0,0
Analogy Making,Logical Reasoning,1578869720375,0,0,0,0,0,0,0,0,376,17,17,0,0,0,2,0,0,0
Analogy Making,Relational Reasoning,1578869734117,0,0,0,0,0,0,0,0,102,8,17,0,0,0,2,0,0,0
Analogy Making,Inhibition Control,1578869747862,0,0,0,0,0,0,0,0,179,24,17,0,0,0,2,0,0,0
Analogy Making,Initiation,1578869761754,0,0,0,0,0,0,0,0,225385,342,17,0,0,0,2,0,0,0
Analogy Making,Mindfulness,1578869776483,0,0,0,0,0,0,0,0,6934,96,17,0,0,0,2,0,0,0
Analogy Making,Motivational Drive,1578869790345,0,0,0,0,0,0,0,0,116,7,17,0,0,0,2,0,0,0
Analogy Making,Organization,1578869809253,0,0,0,0,2,0,0,0,278005,514,17,0,0,0,2,0,0,0
Analogy Making,Problem Solving,1578869825146,0,0,0,0,1,0,0,0,17666,511,17,0,0,0,2,0,0,0
Analogy Making,Responsive Action,1578869839636,0,0,0,0,0,0,0,0,27,0,17,0,0,0,2,0,0,0
Analogy Making,Response Conflict,1578869853326,0,0,0,0,0,0,0,0,619,61,17,0,0,0,2,0,0,0
Analogy Making,Reward Processing,1578869867357,0,0,0,0,0,0,0,0,2034,79,17,0,0,0,2,0,0,0
Analogy Making,Self Control,1578869881492,0,0,0,0,0,0,0,0,5575,180,17,0,0,0,2,0,0,0
Analogy Making,Sequencing,1578869895332,0,0,0,0,0,0,0,0,276977,202,17,0,0,0,2,0,0,0
Analogy Making,Shifting,1578869911876,0,0,0,0,0,0,0,0,34148,1189,17,0,0,0,2,0,0,0
Analogy Making,Strategic Retrieval,1578869930221,0,0,0,0,0,0,0,0,86,14,17,0,0,0,2,0,0,0
Analogy Making,Switching,1578869945111,0,0,0,0,0,0,0,0,60109,880,17,0,0,0,2,0,0,0
Analogy Making,Updating,1578869959579,0,0,0,0,0,0,0,0,11598,405,17,0,0,0,2,0,0,0
Analogy Making,Verbal Processing,1578869973860,0,0,0,0,0,0,0,0,316,18,17,0,0,0,2,0,0,0
Analogy Making,Visuospatial Processing,1578869987626,0,0,0,0,0,0,0,0,562,54,17,0,0,0,2,0,0,0
Analogy Making,Volition,1578870001677,0,0,0,0,0,0,0,0,848,19,17,0,0,0,2,0,0,0
Animal Shifting,Behavioral Control,1578870015494,0,0,0,0,0,0,0,0,2305,61,0,0,0,0,0,0,0,0
Animal Shifting,Behavioral Regulation,1578870029345,0,0,0,0,0,0,0,0,650,131,0,0,0,0,0,0,0,0
Animal Shifting,Central Executive,1578870043489,0,0,0,0,0,0,0,0,951,202,0,0,0,0,0,0,0,0
Animal Shifting,Cognitive Flexibility,1578870057576,0,0,0,0,0,0,0,0,2906,898,0,0,0,0,0,0,0,0
Animal Shifting,Cognitive Control,1578870071383,0,0,0,0,0,0,0,0,6945,1301,0,0,0,0,0,0,0,0
Animal Shifting,Inhibition,1578870085498,0,0,0,0,0,0,0,0,850706,2665,0,0,0,0,0,0,0,0
Animal Shifting,Inference Control,1578870102753,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
Animal Shifting,Response Inhibition,1578870116899,0,0,0,0,0,0,0,0,3940,820,0,0,0,0,0,0,0,0
Animal Shifting,Working Memory,1578870130803,0,0,0,0,0,0,0,0,30660,4422,0,0,0,0,0,0,0,0
Animal Shifting,Creativity,1578870145249,0,0,0,0,0,0,0,0,6298,60,0,0,0,0,0,0,0,0
Animal Shifting,Deductive Reasoning,1578870159316,0,0,0,0,0,0,0,0,390,6,0,0,0,0,0,0,0,0
Animal Shifting,Dual Task Coordination,1578870173095,0,0,0,0,0,0,0,0,29,4,0,0,0,0,0,0,0,0
Animal Shifting,Effective Performance,1578870186951,0,0,0,0,0,0,0,0,471,4,0,0,0,0,0,0,0,0
Animal Shifting,Emotional Control,1578870201049,0,0,0,0,0,0,0,0,821,119,0,0,0,0,0,0,0,0
Animal Shifting,Emotional Regulation,1578870214806,0,0,0,0,0,0,0,0,1798,87,0,0,0,0,0,0,0,0
Animal Shifting,Executive Control,1578870228883,0,0,0,0,0,0,0,0,3581,1413,0,0,0,0,0,0,0,0
Animal Shifting,Feedback Learning,1578870243489,0,0,0,0,0,0,0,0,132,3,0,0,0,0,0,0,0,0
Animal Shifting,Fluency,1578870257814,0,0,0,0,0,0,0,0,11727,1826,0,0,0,0,0,0,0,0
Animal Shifting,Generativity,1578870272118,0,0,0,0,0,0,0,0,375,25,0,0,0,0,0,0,0,0
Animal Shifting,Fluid Intelligence,1578870286568,0,0,0,0,0,0,0,0,937,142,0,0,0,0,0,0,0,0
Animal Shifting,Logical Reasoning,1578870300436,0,0,0,0,0,0,0,0,376,17,0,0,0,0,0,0,0,0
Animal Shifting,Relational Reasoning,1578870314322,0,0,0,0,0,0,0,0,102,8,0,0,0,0,0,0,0,0
Animal Shifting,Inhibition Control,1578870328217,0,0,0,0,0,0,0,0,179,24,0,0,0,0,0,0,0,0
Animal Shifting,Initiation,1578870342087,0,0,0,0,0,0,0,0,225385,342,0,0,0,0,0,0,0,0
Animal Shifting,Mindfulness,1578870357153,0,0,0,0,0,0,0,0,6934,96,0,0,0,0,0,0,0,0
Animal Shifting,Motivational Drive,1578870371193,0,0,0,0,0,0,0,0,116,7,0,0,0,0,0,0,0,0
Animal Shifting,Organization,1578870384914,0,0,0,0,0,0,0,0,278005,514,0,0,0,0,0,0,0,0
Animal Shifting,Problem Solving,1578870399955,0,0,0,0,0,0,0,0,17666,511,0,0,0,0,0,0,0,0
Animal Shifting,Responsive Action,1578870413953,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
Animal Shifting,Response Conflict,1578870427919,0,0,0,0,0,0,0,0,619,61,0,0,0,0,0,0,0,0
Animal Shifting,Reward Processing,1578870441789,0,0,0,0,0,0,0,0,2034,79,0,0,0,0,0,0,0,0
Animal Shifting,Self Control,1578870455624,0,0,0,0,0,0,0,0,5575,180,0,0,0,0,0,0,0,0
Animal Shifting,Sequencing,1578870469546,0,0,0,0,0,0,0,0,276977,202,0,0,0,0,0,0,0,0
Animal Shifting,Shifting,1578870484387,0,0,0,0,0,0,0,0,34148,1189,0,0,0,0,0,0,0,0
Animal Shifting,Strategic Retrieval,1578870515659,0,0,0,0,0,0,0,0,86,14,0,0,0,0,0,0,0,0
Animal Shifting,Switching,1578870529989,0,0,0,0,0,0,0,0,60109,880,0,0,0,0,0,0,0,0
Animal Shifting,Updating,1578870545168,0,0,0,0,0,0,0,0,11598,405,0,0,0,0,0,0,0,0
Animal Shifting,Verbal Processing,1578870559266,0,0,0,0,0,0,0,0,316,18,0,0,0,0,0,0,0,0
Animal Shifting,Visuospatial Processing,1578870573086,0,0,0,0,0,0,0,0,562,54,0,0,0,0,0,0,0,0
Animal Shifting,Volition,1578870587240,0,0,0,0,0,0,0,0,848,19,0,0,0,0,0,0,0,0
Anti Saccade,Behavioral Control,1578870601008,1,0,0,0,1,0,0,0,2305,61,188,95,0,0,14,7,0,0
Anti Saccade,Behavioral Regulation,1578870615059,0,0,0,0,0,0,0,0,650,131,188,95,0,0,14,7,0,0
Anti Saccade,Central Executive,1578870629158,0,0,0,0,0,0,0,0,951,202,188,95,0,0,14,7,0,0
Anti Saccade,Cognitive Flexibility,1578870642851,0,0,0,0,2,1,0,0,2906,898,188,95,0,0,14,7,0,0
Anti Saccade,Cognitive Control,1578870656779,1,0,0,0,13,5,0,0,6945,1301,188,95,0,0,14,7,0,0
Anti Saccade,Inhibition,1578870671186,6,4,0,0,35,19,0,0,850706,2665,188,95,0,0,14,7,0,0
Anti Saccade,Inference Control,1578870688225,0,0,0,0,0,0,0,0,3,1,188,95,0,0,14,7,0,0
Anti Saccade,Response Inhibition,1578870702059,2,1,0,0,9,4,0,0,3940,820,188,95,0,0,14,7,0,0
Anti Saccade,Working Memory,1578870716028,2,1,0,0,11,8,0,0,30660,4422,188,95,0,0,14,7,0,0
Anti Saccade,Creativity,1578870730218,0,0,0,0,0,0,0,0,6298,60,188,95,0,0,14,7,0,0
Anti Saccade,Deductive Reasoning,1578870744259,0,0,0,0,0,0,0,0,390,6,188,95,0,0,14,7,0,0
Anti Saccade,Dual Task Coordination,1578870758175,0,0,0,0,0,0,0,0,29,4,188,95,0,0,14,7,0,0
Anti Saccade,Effective Performance,1578870772075,0,0,0,0,0,0,0,0,471,4,188,95,0,0,14,7,0,0
Anti Saccade,Emotional Control,1578870786022,0,0,0,0,0,0,0,0,821,119,188,95,0,0,14,7,0,0
Anti Saccade,Emotional Regulation,1578870800994,0,0,0,0,0,0,0,0,1798,87,188,95,0,0,14,7,0,0
Anti Saccade,Executive Control,1578870815193,2,0,0,0,11,6,0,0,3581,1413,188,95,0,0,14,7,0,0
Anti Saccade,Feedback Learning,1578870829308,0,0,0,0,0,0,0,0,132,3,188,95,0,0,14,7,0,0
Anti Saccade,Fluency,1578870843899,1,0,0,0,3,1,0,0,11727,1826,188,95,0,0,14,7,0,0
Anti Saccade,Generativity,1578870859158,0,0,0,0,0,0,0,0,375,25,188,95,0,0,14,7,0,0
Anti Saccade,Fluid Intelligence,1578870872930,1,0,0,0,1,0,0,0,937,142,188,95,0,0,14,7,0,0
Anti Saccade,Logical Reasoning,1578870886738,0,0,0,0,0,0,0,0,376,17,188,95,0,0,14,7,0,0
Anti Saccade,Relational Reasoning,1578870900615,0,0,0,0,0,0,0,0,102,8,188,95,0,0,14,7,0,0
Anti Saccade,Inhibition Control,1578870914394,0,0,0,0,1,1,0,0,179,24,188,95,0,0,14,7,0,0
Anti Saccade,Initiation,1578870928410,1,1,0,0,12,6,0,0,225385,342,188,95,0,0,14,7,0,0
Anti Saccade,Mindfulness,1578870943423,0,0,0,0,0,0,0,0,6934,96,188,95,0,0,14,7,0,0
Anti Saccade,Motivational Drive,1578870957323,0,0,0,0,0,0,0,0,116,7,188,95,0,0,14,7,0,0
Anti Saccade,Organization,1578870971131,0,0,0,0,1,0,0,0,278005,514,188,95,0,0,14,7,0,0
Anti Saccade,Problem Solving,1578870986459,0,0,0,0,0,0,0,0,17666,511,188,95,0,0,14,7,0,0
Anti Saccade,Responsive Action,1578871000710,0,0,0,0,0,0,0,0,27,0,188,95,0,0,14,7,0,0
Anti Saccade,Response Conflict,1578871014544,0,0,0,0,0,0,0,0,619,61,188,95,0,0,14,7,0,0
Anti Saccade,Reward Processing,1578871028536,0,0,0,0,0,0,0,0,2034,79,188,95,0,0,14,7,0,0
