,context,task,construct,hits,task_hits,construct_hits
0,notEF,Analogy Making,Behavioral Control,0,15,2244
1,notEF,Animal Shifting,Behavioral Control,0,0,2244
2,notEF,Anti Saccade,Behavioral Control,0,174,2244
3,notEF,Attentional Blink,Behavioral Control,2,783,2244
4,notEF,Attentional Network,Behavioral Control,0,314,2244
5,notEF,Auditory Attention,Behavioral Control,0,811,2244
6,notEF,Backward Color Recall,Behavioral Control,0,0,2244
7,notEF,Balance Beam,Behavioral Control,0,345,2244
8,notEF,BART,Behavioral Control,2,713,2244
9,notEF,Balloon Analouge Risk Taking,Behavioral Control,0,0,2244
10,notEF,Bear Alligator,Behavioral Control,0,0,2244
11,notEF,Block Design Subtest,Behavioral Control,0,64,2244
12,notEF,Box Crossing Dual,Behavioral Control,0,0,2244
13,notEF,Category Fluency,Behavioral Control,0,513,2244
14,notEF,Category Switch,Behavioral Control,0,3,2244
15,notEF,Cognitive Flexibility,Behavioral Control,8,2008,2244
16,notEF,Color Shape,Behavioral Control,0,78,2244
17,notEF,Contingency Naming,Behavioral Control,0,0,2244
18,notEF,CPT,Behavioral Control,0,12420,2244
19,notEF,Continious Performance Task,Behavioral Control,0,0,2244
20,notEF,AX-CPT,Behavioral Control,0,99,2244
21,notEF,Controlled Attention,Behavioral Control,0,142,2244
22,notEF,Counting Recall,Behavioral Control,0,0,2244
23,notEF,Cued Unpredictable Switch,Behavioral Control,0,0,2244
24,notEF,D2 Target Detection,Behavioral Control,0,0,2244
25,notEF,Degraded Vigilance,Behavioral Control,0,0,2244
26,notEF,Delay Choice,Behavioral Control,0,13,2244
27,notEF,Delay Discounting Task,Behavioral Control,3,368,2244
28,notEF,Delayed Alternation,Behavioral Control,0,441,2244
29,notEF,Digit Shifting,Behavioral Control,0,0,2244
30,notEF,Dimension Switching,Behavioral Control,0,1,2244
31,notEF,DCCS,Behavioral Control,1,263,2244
32,notEF,Dimensional Change Card Sort,Behavioral Control,0,27,2244
33,notEF,Dragon,Behavioral Control,1,1284,2244
34,notEF,Expressive Attention,Behavioral Control,0,0,2244
35,notEF,Flanker,Behavioral Control,4,1512,2244
36,notEF,Flexibility,Behavioral Control,31,68715,2244
37,notEF,Flexible Item Selection,Behavioral Control,0,4,2244
38,notEF,Gift Delay,Behavioral Control,0,1,2244
39,notEF,Gift Wrap,Behavioral Control,0,4,2244
40,notEF,Go/NoGo,Behavioral Control,11,841,2244
41,notEF,TMT,Behavioral Control,0,2747,2244
42,notEF,Trail Making Task,Behavioral Control,0,35,2244
43,notEF,Grass Snow,Behavioral Control,0,1,2244
44,notEF,Hayling Test,Behavioral Control,0,28,2244
45,notEF,Head-Toes-Knees-Shoulders,Behavioral Control,0,6,2244
46,notEF,Incompatibility Test,Behavioral Control,0,13,2244
47,notEF,IGT,Behavioral Control,1,4718,2244
48,notEF,Iowa Gambling Task,Behavioral Control,1,880,2244
49,notEF,Keep Track,Behavioral Control,0,737,2244
50,notEF,Knock and Tap,Behavioral Control,0,0,2244
51,notEF,Letter Fluency,Behavioral Control,0,334,2244
52,notEF,Letter Memory,Behavioral Control,0,36,2244
53,notEF,Letter Monitoring,Behavioral Control,0,19,2244
54,notEF,LNS,Behavioral Control,0,4255,2244
55,notEF,Letter Number Sequencing,Behavioral Control,0,151,2244
56,notEF,Lexical Fluency,Behavioral Control,0,22,2244
57,notEF,Listening Recall,Behavioral Control,0,0,2244
58,notEF,Local Global,Behavioral Control,0,227,2244
59,notEF,Luria Hand Game,Behavioral Control,0,0,2244
60,notEF,MONITOR,Behavioral Control,10,146955,2244
61,notEF,Matrix Monitoring,Behavioral Control,0,0,2244
62,notEF,Mental Counters,Behavioral Control,0,0,2244
63,notEF,Mister X,Behavioral Control,0,0,2244
64,notEF,MCST,Behavioral Control,0,56,2244
65,notEF,Modified Card Sorting Test,Behavioral Control,0,40,2244
66,notEF,More Less Odd Even,Behavioral Control,0,0,2244
67,notEF,Wisconsin Card Sort,Behavioral Control,0,104,2244
68,notEF,Stop Signal,Behavioral Control,22,1684,2244
69,notEF,Complex Span,Behavioral Control,0,160,2244
70,notEF,Pick the Picture,Behavioral Control,0,0,2244
71,notEF,Digit Span,Behavioral Control,0,2660,2244
72,notEF,Random Letter Generation,Behavioral Control,0,17,2244
73,notEF,Snack Delay,Behavioral Control,0,12,2244
74,notEF,Visual Matrix Span,Behavioral Control,0,0,2244
75,notEF,Multiple Object Tracking,Behavioral Control,0,281,2244
76,notEF,Block Span,Behavioral Control,0,19,2244
77,notEF,Pictorial Updating,Behavioral Control,0,0,2244
78,notEF,Nebraska Barnyard,Behavioral Control,0,0,2244
79,notEF,Random Number Generation,Behavioral Control,0,220,2244
80,notEF,Nine Boxes,Behavioral Control,0,3,2244
81,notEF,Shape School,Behavioral Control,0,9,2244
82,notEF,Tower of Hanoi,Behavioral Control,0,147,2244
83,notEF,Verbal Fluency,Behavioral Control,0,4220,2244
84,notEF,Pencil Tapping,Behavioral Control,0,4,2244
85,notEF,WCST,Behavioral Control,0,915,2244
86,notEF,Sorting,Behavioral Control,3,39345,2244
87,notEF,Somethings the Same Game,Behavioral Control,0,0,2244
88,notEF,Running Span,Behavioral Control,0,14,2244
89,notEF,Serial Substraction of Sevens,Behavioral Control,0,0,2244
