task,timestamp_ms,task_hits,task_suffixtask_hits,task_suffixtest_hits,task_suffixgame_hits,task_ef_hits,task_suffixtask_ef_hits,task_suffixgame_ef_hits,task_suffixtest_ef_hits
Analogy Making,1578913599730,17,0,0,0,2,0,0,0
Animal Shifting,1578913605786,0,0,0,0,0,0,0,0
Anti Saccade,1578913612270,188,95,0,0,14,7,0,0
Attentional Blink,1578913620144,799,61,0,0,16,1,0,0
Attentional Network,1578913626510,374,34,72,0,60,11,0,25
Auditory Attention,1578913638930,864,46,8,0,53,1,0,0
Backward Color Recall,1578913645521,0,0,0,0,0,0,0,0
Balance Beam,1578913651861,347,14,52,0,2,0,0,0
BART,1578913658233,722,7,3,0,9,0,0,0
Balloon Analouge Risk Taking,1578913664716,0,0,0,0,0,0,0,0
Bear Alligator,1578913671163,0,0,0,0,0,0,0,0
Block Design Subtest,1578913677701,71,0,0,0,7,0,0,0
Box Crossing Dual,1578913684045,0,0,0,0,0,0,0,0
Category Fluency,1578913690475,621,58,80,0,108,4,0,15
Category Switch,1578913697910,4,0,0,0,1,0,0,0
Cognitive Flexibility,1578913704730,2906,41,6,0,898,13,0,1
Color Shape,1578913717276,89,10,0,0,11,5,0,0
Contingency Naming,1578913723691,0,0,10,0,0,0,0,8
CPT,1578913731056,12559,37,40,0,139,1,0,1
Continious Performance Task,1578916954290,0,0,0,0,0,0,0,0
AX-CPT,1578916961254,117,11,0,0,18,1,0,0
Controlled Attention,1578916969439,156,0,0,0,14,0,0,0
Counting Recall,1578916981841,0,0,0,0,0,0,0,0
Cued Unpredictable Switch,1578916989698,0,0,0,0,0,0,0,0
D2 Target Detection,1578916996318,0,0,0,0,0,0,0,0
Degraded Vigilance,1578917003285,0,0,0,0,0,0,0,0
Delay Choice,1578917009734,15,7,0,0,2,1,0,0
Delay Discounting Task,1578917016076,387,0,0,0,19,0,0,0
Delayed Alternation,1578917022485,449,182,17,0,8,4,0,1
Digit Shifting,1578917028984,0,0,0,0,0,0,0,0
Dimension Switching,1578917035365,1,0,0,0,0,0,0,0
DCCS,1578917046791,301,22,0,0,38,14,0,0
Dimensional Change Card Sort,1578917057807,90,28,0,0,63,17,0,0
Dragon,1578917138652,1293,0,0,0,9,0,0,0
Expressive Attention,1578917147022,0,0,0,0,0,0,0,0
Flanker,1578917155322,1826,1163,27,0,314,211,0,11
Flexibility,1578917162154,70156,69,122,0,1441,22,0,3
Flexible Item Selection,1578917171603,11,8,0,0,7,6,0,0
Gift Delay,1578917183889,1,5,0,0,0,1,0,0
Gift Wrap,1578917191150,6,0,0,0,2,0,0,0
Go/NoGo,1578917197903,988,627,9,0,147,101,0,1
TMT,1578917204427,3109,0,0,0,362,0,0,0
Trail Making Task,1578917211005,58,0,0,0,23,0,0,0
Grass Snow,1578917217398,1,0,0,0,0,0,0,0
Hayling Test,1578917225715,57,0,0,0,29,0,0,0
Head-Toes-Knees-Shoulders,1578917234539,16,8,0,0,10,5,0,0
Incompatibility Test,1578917240979,13,0,0,0,0,0,0,0
IGT,1578917250575,4815,9,5,0,97,0,0,0
Iowa Gambling Task,1578917263694,1044,0,0,0,164,0,0,0
Keep Track,1578917270177,747,0,0,0,10,0,0,0
Knock and Tap,1578917276994,0,0,0,0,0,0,0,0
Letter Fluency,1578917283446,447,55,26,0,113,7,0,6
Letter Memory,1578917289919,42,9,13,0,6,3,0,0
Letter Monitoring,1578917296493,20,5,0,0,1,1,0,0
LNS,1578917302897,4269,0,0,0,14,0,0,0
Letter Number Sequencing,1578917309414,214,15,28,0,63,2,0,4
Lexical Fluency,1578917315798,38,0,4,0,16,0,0,1
Listening Recall,1578917324088,0,0,0,0,0,0,0,0
Local Global,1578917331534,240,7,0,0,13,4,0,0
Luria Hand Game,1578917337875,0,0,0,0,0,0,0,0
MONITOR,1578917344275,147161,0,242,0,206,0,0,0
Matrix Monitoring,1578917351547,0,0,0,0,0,0,0,0
